INFO  2015-05-23 15:32:28,165 5794254ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:32:58,177 5824266ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:33:28,194 5854282ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:33:58,202 5884291ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:34:28,222 5914311ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:34:58,236 5944325ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:35:28,247 5974335ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:35:58,269 6004357ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:36:28,279 6034367ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:36:58,294 6064382ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:37:28,308 6094396ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:37:58,322 6124410ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:38:28,334 6154422ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:38:58,357 6184446ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:39:28,364 6214453ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:39:58,382 6244470ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:40:28,392 6274480ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:40:58,406 6304495ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:41:28,421 6334510ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:41:58,436 6364524ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:42:28,451 6394539ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:42:58,465 6424554ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:43:28,480 6454569ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:43:58,495 6484583ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:44:28,516 6514604ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:44:58,523 6544612ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:45:28,538 6574626ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:45:58,556 6604644ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:46:28,567 6634656ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:46:58,582 6664671ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:47:28,597 6694685ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:47:58,612 6724700ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
INFO  2015-05-23 15:48:28,625 6754714ms EmailSchedulerHelper   _timer_Tick        - Timer ticker and some job has been done successfully.
